time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-10T03:41:52.560Z,-2.2941,138.8406,54.21,4.6,mb,,128,6.614,0.87,us,us1000882g,2017-03-10T04:01:37.040Z,"197km W of Abepura, Indonesia",earthquake,13.4,9.5,0.105,27,reviewed,us,us
2017-03-10T03:40:42.120Z,33.9618333,-117.1405,14.33,1.33,ml,53,34,0.0718,0.19,ci,ci37823664,2017-03-10T14:30:18.480Z,"9km WSW of Calimesa, CA",earthquake,0.22,0.55,0.159,29,reviewed,ci,ci
2017-03-10T03:37:42.300Z,18.5788,-65.053,37,2.8,Md,5,266.4,0.24434176,0.14,pr,pr17069000,2017-03-10T07:42:36.644Z,"29km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.5,2.4,0,4,reviewed,pr,pr
2017-03-10T03:29:11.128Z,64.6289,-148.3609,11.4,1.1,ml,,,,0.53,ak,ak15456034,2017-03-10T03:35:28.907Z,"29km SW of Ester, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-03-10T03:25:36.460Z,37.2669,-98.1736,5,2.7,ml,,120,0.143,0.59,us,us10008826,2017-03-10T03:34:43.040Z,"13km W of Harper, Kansas",earthquake,1.8,1.9,0.06,36,reviewed,us,us
2017-03-10T03:23:02.990Z,-7.0984,129.3009,184.65,4.2,mb,,79,2.166,0.32,us,us1000882a,2017-03-10T03:51:55.040Z,"241km WNW of Saumlaki, Indonesia",earthquake,6.3,10,0.153,12,reviewed,us,us
2017-03-10T03:15:30.862Z,64.0844,-148.7526,15.1,0.9,ml,,,,0.26,ak,ak15456033,2017-03-10T03:22:10.347Z,"27km NNE of Healy, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-03-10T03:12:14.610Z,38.8028333,-122.8026667,2.77,1.48,md,40,85,0.007707,0.06,nc,nc72772306,2017-03-10T07:48:01.936Z,"4km NW of The Geysers, California",earthquake,0.24,0.33,0.214,16,reviewed,nc,nc
2017-03-10T02:55:05.900Z,38.5597,-119.3625,6.1,1.6,ml,11,188.43,0.398,,nn,nn00581550,2017-03-10T02:57:54.761Z,"24km S of Smith Valley, Nevada",earthquake,,,,,automatic,nn,nn
2017-03-10T02:37:01.058Z,38.3549,-118.9033,8.6,0.8,ml,10,175.79,0.149,0.1178,nn,nn00581579,2017-03-10T15:08:39.521Z,"30km SW of Hawthorne, Nevada",earthquake,,4.3,0.23,4,reviewed,nn,nn
2017-03-10T02:22:11.488Z,60.2177,-151.8572,58.7,3.2,ml,,,,0.61,ak,ak15456019,2017-03-10T08:49:56.197Z,"34km WSW of Cohoe, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-03-10T02:18:51.321Z,59.9182,-139.3834,0,1.8,ml,,,,0.67,ak,ak15456028,2017-03-10T02:33:36.635Z,"45km NNE of Yakutat, Alaska",earthquake,,1,,,automatic,ak,ak
2017-03-10T02:14:04.320Z,37.5358333,-118.8251667,4.71,0.57,md,7,248,0.05419,0.04,nc,nc72772301,2017-03-10T08:58:02.725Z,"18km SE of Mammoth Lakes, California",earthquake,1.82,0.88,0.065,6,reviewed,nc,nc
2017-03-10T01:43:32.980Z,36.068,-120.6483333,3.35,0.85,md,12,155,0.04226,0.08,nc,nc72772286,2017-03-10T07:20:03.572Z,"27km WSW of Coalinga, California",earthquake,1.26,2.32,0.249,4,reviewed,nc,nc
2017-03-10T01:31:50.440Z,33.4895,-116.791,5.49,1.15,ml,48,27,0.08799,0.15,ci,ci37823640,2017-03-10T02:29:28.330Z,"9km NE of Aguanga, CA",earthquake,0.14,0.69,0.115,39,reviewed,ci,ci
2017-03-10T01:17:54.640Z,37.0085,-117.662,6.7,0.4,ml,6,211.65,0.242,,nn,nn00581546,2017-03-10T01:19:17.723Z,"57km NE of Lone Pine, California",earthquake,,,,,automatic,nn,nn
2017-03-10T01:11:52.549Z,63.5306,-151.123,0.1,1.3,ml,,,,0.39,ak,ak15455934,2017-03-10T01:19:27.172Z,"109km W of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-03-10T01:07:42.704Z,61.5148,-149.9117,39.8,1.3,ml,,,,0.18,ak,ak15455933,2017-03-10T01:12:22.629Z,"2km ESE of Big Lake, Alaska",earthquake,,1,,,automatic,ak,ak
